,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_воды_м3/сут_16,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
40,3572.0,12.7,301.6,101.7,108.4,37.0,,104.5,48.2,2.4,4013.4,158.9,30.0,38.59,51.3,51.7,98.0,780.0,0.662,,217.0
41,3588.5,7.94,359.9,100.2,100.2,57.0,33.0,105.1,33.2,1.3,1839.2,94.7,30.0,40.39,49.4,,97.6,792.0,0.683,,200.0
42,3588.5,9.53,346.9,98.9,98.8,62.0,38.5,104.88,39.0,2.6,2690.920702,119.1,30.0,40.39,49.4,,95.5,792.0,0.683,,180.0
43,3588.5,11.11,330.5,94.5,93.1,66.0,42.9,104.5,43.3,3.8,3706.486907,138.7,30.0,40.39,49.4,,90.3,792.0,0.683,,169.0
44,3588.5,12.7,314.2,96.9,97.0,68.0,47.9,104.0,47.8,4.7,4437.442082,159.2,30.0,40.39,49.4,,92.0,792.0,0.683,,160.0
45,3588.5,14.29,297.5,98.2,98.3,68.0,51.0,103.4,51.2,5.7,5035.740014,170.4,30.0,40.39,49.4,,93.2,792.0,0.683,,156.0
46,3588.5,12.7,306.9,97.2,97.6,67.0,,103.76,48.2,4.5,4386.745588,149.6,30.0,40.39,49.4,,92.5,792.0,0.683,,153.0
47,,9.53,,100.36964188706226,100.26,58.0,,,37.535415296640444,0.5,2291.0,91.0,30.0,,,,92.9,781.0,0.665,,152.0
48,3559.5,6.35,399.42315,99.22807278805165,99.03075,49.6,26.0,107.62,26.2704474751067,1.3825652347083912,1146.0,100.0,22.1,42.98,48.1,46.6,96.5,,,,
49,3559.5,9.53,390.810525,100.82093164254702,100.65044,59.9,37.9,107.5,38.187472286541265,2.8912527351664297,2671.0,222.0,22.1,42.98,48.1,46.6,97.6,,,,
50,3559.5,12.7,376.422375,101.83162392340431,102.06587,66.8,48.6,107.4,48.906679693617036,4.7059132595744755,4437.0,364.0,22.1,42.98,48.1,46.6,97.8,,,,
51,3559.5,14.29,366.69517499999995,101.26489122486284,101.15301,68.5,52.0,107.2,52.25843784277882,5.208312833638029,5207.0,416.0,22.1,42.98,48.1,46.6,96.8,,,,
52,3570.0,7.94,381.26,89.58742161426531,88.88085,52.0,25.6,106.32,25.939782731112167,1.933761426560299,1942.0,146.0,22.1,40.06,41.7,42.1,85.6,,,,
53,3570.0,9.53,378.82,91.79511629318446,91.43714,58.0,33.4,106.35,33.67069549486457,4.419035070028008,2873.0,205.0,22.1,40.06,41.7,42.1,87.6,,,,
54,3570.0,11.11,372.62,94.27580615097797,94.22627,64.0,40.7,106.34,40.77627542404476,6.635297670083872,3692.0,269.0,22.1,40.06,41.7,42.1,89.6,,,,
55,3570.0,12.7,364.64,96.1803338580094,96.33394,65.0,45.0,106.3,44.92587537132181,9.157682241943037,4383.0,318.0,22.1,40.06,41.7,42.1,90.6,,,,
56,3570.0,14.29,356.04999999999995,102.9624759962491,110.25928,70.0,50.7,106.25,50.9079042287858,11.222106779184266,5030.0,390.0,22.1,40.06,41.7,42.1,93.2,,,,
57,3480.0,6.35,432.0498,97.74763876860615,97.74763876860615,44.0,22.0,106.3,21.712269228687425,0.7287491542625171,1324.0,91.1,55.9,45.17,62.0,61.3,96.3,,,,
58,3480.0,9.53,421.71465,99.54091295189504,99.54091295189504,57.0,35.0,106.414,35.59865918367348,0.38038680758017496,3049.0,192.2,55.9,45.17,62.0,61.3,96.7,,,,
59,3480.0,11.11,413.406,97.63249315194349,97.63249315194349,62.0,41.0,106.37,41.55618932155472,0.7081220070671369,4138.0,238.9,55.9,45.17,62.0,61.3,95.3,,,,
60,3480.0,12.7,400.943025,97.07964945039255,97.07964945039255,67.0,48.0,106.3,46.82961309778736,1.158115524625267,5300.0,293.4,55.9,45.17,62.0,61.3,95.2,,,,
61,3480.0,14.29,385.84560000000005,103.06586132948013,103.06586132948013,67.0,50.0,106.2,49.950134624277375,4.000340612716763,5609.0,366.4,55.9,45.17,62.0,61.3,92.7,,,,
62,3480.6,7.94,376.653,97.05413761450598,97.196846,53.3,29.0,105.97,29.407191398379993,1.48,2012.0,117.0,63.5193,39.7,,,93.4,,,,
63,3480.6,9.53,373.775,95.57305481241463,93.2939,54.3,35.8,106.01,35.88838914962048,3.71,3035.0,150.0,63.5193,39.7,,,95.4,,,,
64,3480.6,11.11,363.64199999999994,94.65640957754356,94.025223,61.9,40.9,105.95,40.90340674947371,3.523,4049.1,182.7,63.5193,39.7,,,90.9,,,,
65,3480.6,12.7,351.18,97.4180405895988,100.192825,64.4,45.2,105.85,45.13802802642314,4.416,4662.42,207.1,63.5193,39.7,,,90.3,,,,
66,3478.5,9.53,347.0,93.85216319444433,94.36306451612884,57.0,34.3,106.51,35.29383749999997,5.488664374999995,3019.1,104.0,63.5193,39.4921,,,87.9,779.8,0.668,,152.0
67,3478.5,11.11,342.0,94.36018113207544,94.1848387096773,60.0,38.5,106.48,40.51949056603775,5.4517244528301925,4002.5,122.7,63.5193,39.4921,,,87.9,779.8,0.668,,138.0
68,,12.7,,102.13519083969554,102.23,66.0,,,48.36874392782796,0.7,4109.0,416.0,63.5,,,,93.0,776.7,0.67,,131.0
69,3564.3,6.35,457.0,97.83480906921248,98.08909677419375,46.3,22.6,106.944,21.68210501193317,0.21759121718377075,1438.8,106.8,33.7,47.93,57.7,58.0,95.1,,,,
70,3564.3,7.94,453.0,98.68245384615388,98.45483870967749,52.7,29.4,107.05,30.095861538461534,0.6037667435897436,2291.4,155.0,33.7,47.93,57.7,58.0,95.2,,,,
71,3564.3,11.11,438.5,101.44903225806458,101.147741935484,64.6,43.3,107.06,44.03527688172044,1.7581981182795714,4419.0,258.9,33.7,47.93,57.7,58.0,97.3,,,,
72,3564.3,12.7,427.9,101.35314121037482,101.27483870967754,66.4,46.5,107.03,48.57650432276657,2.4395913544668613,5688.2,319.5,33.7,47.93,57.7,58.0,96.2,,,,
73,3564.3,14.29,414.80000000000007,99.07050131233585,99.07558064516135,71.2,51.9,106.9,51.965131233595756,3.2341249343832006,6345.3,331.6,33.7,47.93,57.7,58.0,97.0,,,,
74,3560.0,7.94,415.69000000000005,91.1730564647979,87.51682,56.0,28.1,106.8,28.252343489780408,1.1806584708554124,2209.7,166.2,33.7,43.04,49.5,50.7,86.5,,,,
75,3560.0,9.53,410.66,93.88042091672449,92.28044,64.5,35.7,106.87,36.2264734569629,5.0039927781665545,3186.0,232.0,33.7,43.04,49.5,50.7,87.6,,,,
76,3560.0,11.11,403.41999999999996,93.62814450469958,93.91002,67.6,41.9,106.84,42.18526214750542,6.882270021691971,4245.0,305.0,33.7,43.04,49.5,50.7,87.9,,,,
77,3560.0,12.7,395.33000000000004,96.75214273112144,96.62806,70.0,46.4,106.8,46.532798405081095,8.104391474947047,4973.0,359.8,33.7,43.04,49.5,50.7,89.7,,,,
78,3560.0,14.29,384.93,101.04822901616329,101.13915,70.5,50.7,106.74,50.65454920590304,10.288149992972594,5889.07,437.2,33.7,43.04,49.5,50.7,91.9,,,,
79,3558.0,12.7,309.40000000000003,101.98102177554411,100.95,67.0,47.7,103.0,47.88539865996652,1.7,4105.0,132.6,33.7,,58.8,,93.5,,,,
