,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Руст_бар_7,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Дебит_воды_м3/сут_20,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
139,3424.5,12.7,236.5,104.28088105726873,163.13324999999998,104.34129032258065,47.8,,106.4,48.01590528634359,2869.0,126.4,2.6,44.2,37.21,50.2,50.7,103.9,785.0,0.648,,177.0
140,3424.5,14.3,221.2,104.42884344146684,149.961,104.62210526315792,50.6,,106.7,50.5755373765868,3112.0,121.4,2.6,44.2,37.21,50.2,50.7,104.0,777.0,0.648,,164.0
141,3437.0,7.5,305.56,100.8,215.0,99.7,40.0,26.0,106.5,25.9,1168.0,79.0,0.5,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,219.0
142,3437.0,7.94,298.69,100.6,209.0,100.6,48.0,27.8,106.6,28.5,1401.0,93.1,1.0,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,218.0
143,3437.0,9.53,278.23,100.6,193.0,100.6,54.0,35.1,106.6,36.3,1996.0,110.8,1.6,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,200.0
144,3437.0,11.11,256.21,101.2,173.0,101.2,54.0,40.9,106.5,41.0,2545.0,115.5,1.9,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,161.0
145,3437.0,12.7,234.19,101.3,154.0,101.6,56.0,45.6,106.4,46.2,3043.0,113.2,1.0,44.2,36.46,47.9,48.6,100.3,782.0,0.684,,157.0
146,3437.0,14.29,216.9,101.4,138.0,100.2,57.0,49.3,106.43,49.7,3320.0,116.8,0.8,44.2,36.46,47.9,48.6,100.7,782.0,0.684,,154.0
147,3440.0,7.94,174.0,92.0526897987506,163.0,90.945,44.0,25.6,102.55,25.94277793199168,1187.0,60.9,0.2,44.2,29.17,56.1,,90.0,770.1,0.57,,180.0
148,3440.0,7.94,228.46,92.58793483709262,164.0,92.642,42.0,24.8,102.507,25.80761152882207,1168.0,60.1,0.2,44.2,29.17,56.1,,90.4,770.1,0.57,,178.0
149,3440.0,7.94,228.1,92.6323398762964,163.0,94.154,43.0,26.6,102.068,26.23892374702136,1172.0,59.8,0.2,44.2,29.17,56.1,,90.7,770.1,0.57,,180.0
150,3277.8,6.35,382.5,101.9,288.77625,104.1,26.5,,106.2,25.9,1891.0,116.8,0.8,44.5,40.35,53.9,52.7,101.5,781.0,0.672,,224.0
151,3277.8,9.53,373.7,103.8,282.69675,103.5,39.0,,106.4,40.1,1192.0,82.6,0.8,44.5,40.35,53.9,52.7,101.5,186.0,0.672,,199.0
152,3277.8,11.11,365.7,103.6,271.551,102.9,45.3,,106.47,46.1,2740.0,152.8,3.3,44.5,40.35,53.9,52.7,103.2,790.0,0.672,,201.0
